sampleCode,sampleItemName,constructionNo,color,customerName,customerRequiredWidth,customerRequiredWidth%,customerRequiredLength%,customerRequiredWeight,loomNo,warppingNo,yard,beforeHeatSettingWidth,afterHeatSettingWidth,afterDryerWidth,weavingPPI,afterDryerSkew,sampleIssueDate,finishingDate,afterShrinkageSkew,afterShrinkagePPI,afterShrinkagePPI+,afterWashSkew,afterShrinkageWidth,boxPercentRightHand,boxPercentLeftHand,afterWashWidthPercent,afterWashLengthPercent,afterWashWidth,afterWashPPI,burnnerQnt,m/cSpeed,machineWidthSetting,tempSetting,sampleProcessingDetails
X25001,,"4176X52
8ring(Nishat)X10-40D(Lycra, Sunray), 3/1RHT",Black #9L,Jennyfer,,,,,201,2501033,220Y,,,"C:62.2''
F:63''",52,15.0cm,,1/21/2025,12.0cm,60,+8,12.0cm,"C:61.7''
F:62.7''",-0.89%,-0.29%,-12.15%,0.00%,54.2'',60,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer + Sanforized
X25001,,"4176X52
8ring(Nishat)X10-40D(Lycra, Sunray), 3/1RHT",Black#9L,Jennyfer,,,,,102,24121135,Rest Quat.,"C:67.6''
F:68.2''","C:66.5''
F:67''","C:62''
F:63''",52,12.0cm,,1/9/2025,11.5cm,60,+8,10.5cm,"C:61.5''
F:62.5''",0.00%,0.70%,11.38%,2.00%,54.5'',60,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer(5box 60°C) + Sanforized
X25001,,"4176X52
8ring(Nishat)X10-40D(Lycra, Sunray), 3/1RHT",Black#9L,Jennyfer,,,,,102,24121135,60Y,"C:67.6''
F:68.2''","C:66.5''
F:67.4''","C:60.2''
F:61.2''",52,14.0cm,,1/9/2025,11.0cm,60,+8,10.0cm,"C:69.6''
F:60.5''",-1.90%,0.40%,-14.90%,0.00%,51.2'',60,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X24264,RNS090-12R5,,,,,,,,119,2404373,126Y,"C:67''
F:68''","C:65.8''
F:66.8''","C:59''
F:60''",50,12.0cm,,12/8/2024,11.0cm,56,+6,10.5cm,"C:57''
F:58''",-2.93%,0.80%,-22.46%,-4.00%,44.2'',58,8 Burnner,30m/m,After Singeing Width + 2'',170°C,Singeing + Heat Setting +Desized+Dryer +Sanforized
X24248-1,RNS100-21R6C,,,,,,,,508,24111028,70Y,"C:68''
F:69''","C:67.5''
F:68.2''","C:62.2''
F:63''",40,18.0cm,,11/11/2024,14.0cm,48,+8,11.0cm,"C:62.2''
F:63''",-3.20%,-2.30%,18.30%,0.00%,50.8'',48,8 Burnner,30m/m,After Singeing width + 1'',160°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X24222-2,,,,,,,,,199,2409908,60Y,"C:64.5''
F:65.2''","C:60''
F:60.7''","C:60''
F:60.5''",60,10.5cm,,10/4/2024,6.0cm,67,+7,7.0cm,"C:56.8''
F:51.4''",-1.90%,2.80%,-8.80%,-0.80%,51.8'',67,8 Burnner,30m/m,After Singeing width + 1'',160°C,Singeing + Heat Setting +Desized+Dryer +Sanforized(Face down)
X24222-1,,,,,,,,,119,2409908,60Y,"C:59''
F:60''","C:64.2''
F:65.1''","C:59''
F:60''",60,10.5cm,,10/4/2024,6.0cm,66,+6,6.5cm,"C:55.2''
F:56''",-1.60%,2.80%,-10.30%,-0.70%,49.5'',67,8 Burnner,30m/m,After Singeing width + 1'',170°C,Singeing + Heat Setting +Desized+Dryer +Sanforized(Face down)
X24221-2,,,,,,,,,508,2409902,75Y,,,"C:61''
F:62''",52,15.5cm,,,13.5cm,61,+9,10.5cm,"C:55''
F:55.9''",-2.81%,-2.23%,11.81%,0.00%,48.5'',61,8 Burnner,30m/m,After Singeing width + 1'',150°C,Singeing + Heat Setting + Dryer(5box 60°C) +Semi_Mercerized+Sanforized
X24221-1,,,,,,,,,508,2409902,83Y,"C:60''
F:59''","C:58.8''
F:59.8''","C:58.8''
F:59.8''",52,12.5cm,,9/29/2024,12.5cm,61,+9,11.5cm,"C:57.8''
F:58.8''",-2.75%,1.83%,14.87%,0.31%,49.2'',61,8 Burnner,30m/m,After Singeing width + 2'',160°C,Singeing +Dryer(5box)+Heat Setting + Sanforized
X24220,,,,,,,,,512,2408798,37Y,"C:61''
F:51.8''","C:61''
F:62''","C:57.8''
F:58.8''",42,15.0cm,,9/29/2024,11.0cm,49,+7,13.0cm,"C:57.4''
F:58.4''",1.24%,3.26%,16.89%,2.50%,47.7'',50,8 Burnner,30m/m,After Singeing width + 2'',160°C,Singeing +Heat Setting + Dryer(5box)+ Sanforized
X24216,RNPS070-08R5,,,,,,,,120,2409812,100Y,"C:63.5''
F:64''","C:57.6''
F:58.3''","C:54''
F:54.8''",55,14.0cm,,9/5/2024,8.0cm,63,+8,8.5cm,"C:51.8''
F:52.4''",-3.00%,2.00%,-14.80%,-0.50%,44.1'',63,8 Burnner,31m/m,60'',160°C,Singeing +Heat Setting + Dryer(5box)+ Sanforized
X24214,,,,,,,,,223,2408794,50Y,"C:55.4''
F:56.3''","C:55.5''
F:56.2''","C:55.5''
F:56.3''",50,9.5cm,,8/21/2024,12.0cm,58,+8,11.0cm,"C:54.5''
F:55.6''",-0.30%,-3.20%,-17.40%,0.00%,45.0'',58,8 Burnner,28m/m,After Singeing width + 2'',170°C,Singeing + Dryer(5box) +Heat Setting + Sanforized
X24196,RNS100-21R12B,"4464X40
8RN(Nishat) X 12-40D N.S(Nishat), 3/1RHT",Black+PD(#12B),C&A,60''--61'',#-(13--17)%,,10.25oz,105,2502097,165Y,"C:67.5''
F:68.6''","C:66.5''
F:67.5''","C:61''
F:60''",40,15.5cm,,3/19/2025,15.0cm,45,+5,13.0cm,"C:61.2''''
F:62.4''",-1.50%,-0.60%,-15.03%,-4.00%,52.0'',46,8 Burnner,28m/m,"After Singeing width +1""",170°C,Singeing + H/S + Dreyer(5box 85°C wash)+ Black Padding 140GPL) + Sanforized
X24196,,,,,,,,,404,24111028,78Y,,,"C:61.5''
F:62.6",40,19.0cm,,12/29/2024,11.5cm,47,+7,10.5cm,"C:61.6''
F:62.8''",4.50%,-1.49%,-14.40%,1.00%,52.7'',46,8 Burnner,,,,Singeing + Heat Setting + Dryer(5box 85°C+140GPL black padding) + Sanforized
X24196,,,,,,,,,110,24111072,102Y,,,"C:60.5''
F:61.7''",40,14.0cm,,1/2/2025,11.0cm,46,+6,11.0cm,"C:62.2''
F:64.2''",1.20%,2.90%,-15.80%,-2.20%,51.5'',46,8 Burnner,,,,Singeing + Heat Setting + Dryer(5box 85°C+140GPL black padding) + Sanforized
X24196,,,,,,,,,404,24111028,78Y,"C:68''
F:69.2''","C:67.4''
F:68.5''","C:61.5''
F:62.6''",40,19.0cm,,12/23/2024,11.5cm,47,+7,10.5cm,"C:61.6''
F:62.8''",4.50%,-1.49%,-14.40%,1.00%,52.7'',46,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer(5box wash 85°C) +Black Padding(140GPL)+Sanforized
X24112-2,,"3888x42
7ring(Salek) x 8-40D(NS) Nishat 3/1RHT",Indigo#5,P&B,,,,,617,2505434,120Y,,,"C:62.2''
F:63''",42,15.0cm,,7/2/2025,11.5cm,48,+6,12.5cm,"C:62''
F:62.8''",2.24%,-0.89%,-11.70%,0.00%,54.7'',48,8 Burnner,32m/m,After Singing width + 1'',170°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X24112-2,,,,,,,,,416,2507616,80Y,"C:68.5''
F:69''","C:67''
F:68''","C:63.2''
F:64.2''",42,17.0cm,,7/23/2025,16.0cm,49,+7,12.5cm,"C:61.5''
F:62.2''",-1.60%,0.20%,-11.40%,-1.00%,55.1'',50,8 Burnner,32m/m,After Singeing width + 1'',170°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X24112-1,RNS-120-02R5,"3888x42
7ring(Salek) x 8-40D(NS) Nishat 3/1RHT",Indigo#5,Zara Kids,,,,,405,2502170,121Y,,,"C:59''
F:60''",42,17.0cm,,3/1/2025,14.5cm,51,+9,12.0cm,"C:62.5''
F:63.6''",-1.34%,-1.47%,-10.80%,1.00%,55.7'',50,8 Burnner,32m/m,After Singing width + 1'',170°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X24112-1,RNS120-02R5,"3888x42
7ring(Nishat)X8-40D (Lycra), 3/1RHT",Indigo#5,Radiance Group/LIDL,61''--62'',#  -(10-14)%,,12.00oz,203,2508739,328Y,"C:68''
F:68.5''","C:67''
F:68''","C:62''
F:63''",42,16.0cm,,8/23/2025,14.0cm,50,+8,12.0cm,"C:62.2''
F:63.2''",-2.80%,-1.40%,11.20%,1.20%,55.2'',49,8 Burnner,32m/m,After Singeing width + 1'',175°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X24104,,,,,,,,,105,,60Y,"C:62.2''
F:63.8''","C:60.7''
F:61.8''",,,,,12/23/2024,,,+0,,,,,,,,,8 Burnner,28m/m,After Singeing width + 1'',160°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X24090,RNS-100-21R6C,"4468X40
8rn(Nishat)X12-40D N.S(Nishat), 3/1RHT",Dark Indigo#6C,C&A,,,,,105,2503233,310Y,"C:67.6''
F:68.7''","C:66''
F:67.5''","C:62.7''
F:63.7''",40,16.5cm,,3/15/2025,12.0cm,47,+7,11.0cm,"C:62.5''''
F:63.5''",-0.62%,0.00%,-20.00%,-1.00%,50.0'',48,8 Burnner,30m/m,"After Singeing width +1""",160°C,Singeing + H/S + Dryer(5box 60°C) + Sanforized
X24090,RNS100-21R6C,"4464x40
8ring(Nishat)x12-40D N.S(Nishat), 3/1 RHT",Dark Indigo#6C,Test Purpose,,,,,103,2502133,100Y,,,"C:67''
F:68.4''",40,17.0cm,,2/20/2025,12.5cm,47,+7,12.0cm,"C:62.7''
F:63.7''",-1.52%,0.38%,-16.20%,-1.00%,52.5'',48,8 Burnner,28m/m,"After Singeing width +1""",175°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X24090,RNS100-21R6C,"4464x40
8ring(Nishat) X 12-40D Lycra(Nishat), 3/1RHT",Dark Indigo#6C,Al-muslim,,,,,506,24121157,168Y,,,"C:62.6''
F:63.5''",40,19.0cm,,1/30/2025,11.5cm,47,+7,12.5cm,"C:62''
F:63''",-0.40%,1.70%,-20.80%,-1.80%,49.1'',47,8 Burnner,30m/m,After Singeing Width + 1'',160°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X24090,RNS100-21R6C,"4464x40
8ring(Nishat) X 12-40D(Nishat), 3/1RHT",Dark Indigo#6C,Kornor,,,,,305,24121157,210Y,,,"C:62.7''
F:63.7''",40,14.5cm,,12/29/2024,14.0cm,47,+7,11.0cm,"C:61''
F:62''",-2.60%,-1.70%,-18.30%,-1.30%,50.0'',48,8 Burnner,30m/m,After Singeing Width + 1'',160°C,Singeing + Heat Setting + Dryer + Sanforized(Twill UP)
X23257,RNPS100-32R12B,"6480x90
16ring(Nishat)X16oe(Milon)+150-40D(black)Hangzhou,1:2,SBC(RHT)",Black(9S)+PD(#12B),Warptex,54''--55'',#-(12-16)%,,9.80oz,219,2503265,120Y,"C:67.8''
F:67.3''","C:64.8''
F:66.2''","C:57.7''
F:58.8''",90,3.0cm,,4/7/2025,4.0cm,102,+12,4.0cm,"C:54.5''
F:55.8''",0.60%,1.36%,-14.60%,-1.00%,,,8 Burnner,30m/m,"After Singeing width +2""",140°C,Singeing + Heat Setting+ Dryer(5box 85°C wash) +Black padding 140GPL )+Sanforized(Twill Up)
X23196-3,,,,,,,,,508,2410940,100Y,"C:66.3''
F:67.3''","C:65''
F:65.8''","C:57''
F:58''",50,14.5cm,,11/19/2024,14.5cm,58,+8,11.0cm,"C:55.5''
F:56.5''",-1.34%,-5.86%,-12.43%,-1.46%,48.6'',57,8 Burnner,30m/m,After Singeing width + 1'',155°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X23196-2,,"4464x50
7OE(Badsha)+7rsl(Q476)(Nishat) (2:8) X 16-70D(Sunray), 3/1 RHT",Indigo#5,Bexhim Global,,,,,120,2503191,100Y,"C:
F:","C:
F:","C:61.2'
F:62.2''",50,15.0cm,,3/7/2025,14.0cm,59,+9,13.0cm,"C:60.3''
F:61.2''",-2.29%,1.23%,17.50%,0.00%,49.7'',59,8 Burnner,33m/m,After Singeing width + 1'',165°C,Singeing +  Heat Setting + Dryer(5box 60°C) Sanforized
X23196-2,,,,,,,,,508,2410940,50Y,"C:66.3''
F:67.3''","C:65.5''
F:66.5''","C:61''
F:62''",50,15.0cm,,11/10/2024,12.0cm,59,+9,7.5cm,"C:60''
F:61''",-3.03%,2.10%,16.16%,1.06%,50.0'',59,8 Burnner,33m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
"X23045-2
Rest Qnt.",Rest Qut.,,,,,,,,207,2507626,,"C:53.8''
F:54.8''","C:54''
F:54.8''","C:53.8''
F:54.8''",50,15.0cm,,7/31/2025,11.0cm,58,+8,10.5cm,"C:53.3''
F:54.5''",-2.16%,-0.28%,-7.10%,0.00%,49.7'',56,8Burnner,30m/m,"After Singeing width +2""",180°C,Singeing+Semi-Mercerized+Heat Setting +Dryer(5box 60°C)+Sanforized
X23045-2,,,,,,,,,207,2507626,,"C:53.8''
F:54.8''",,"C:54''
F:54.8''",50,15.0cm,,7/28/2025,11.0cm,58,+8,9.5cm,"C:53''
F:54''",-0.72%,-2.02%,-7.50%,1.90%,49.0'',56,8Burnner,30m/m,"After Singeing width +2""",180°C,Singeing+Heat Setting +Dryer(5box 60°C)+Sanforized
X22104-2,,,,,,,,,105,24121136,60Y,,,"C:55.7''
F:56.8''",55,13.5cm,,1/2/2025,8.5cm,64,+9,9.0cm,"C:53.8''
F:54.5''",-1.00%,1.80%,-18.70%,-1.00%,43.7'',65,8 Burnner,,,,Singeing + Heat Setting + Dryer + Sanforized
X22104-2,,,,,,,,,105,24121136,60Y,,,"C:56.5''
F:57.5''",55,15.0cm,,12/23/2024,10.0cm,64,+9,9.5cm,"C:54.2''
F:55''",-1.55%,-0.77%,-19.55%,0.00%,43.6'',64,8 Burnner,28m/m,After Singeing width + 1'',160°C,Singeing + heat Setting + Dryer + Sanforized
X22078,PRPS105-09R5,"4686x50
9oeX16-70D T/Raw(Recycle) , Xuzhou, 3/1RHT",Indigo#5,SF Denim,,,,,104,24111026,150Y,"C:66''
F:67''","C:65.9''
F:66.9''","C:61''
F:62''",50,13.0cm,,11/19/2024,10.5cm,58,+8,11.0cm,"C:57.8''
F:58.8''",-1.00%,-2.10%,-12.10%,-1.60%,58.8'',58,8 Burnner,28m/m,After Singeing width + 2'',165°C,Singeing + Heat Setting +Desized+Dryer +Sanforized
X22078,PRPS105-09R5,"4686x50
9oeX16-70D T/Raw(Recycle) , Xuzhou, 3/1RHT",Indigo#5,SF Denim,57''--58'',# -(11--15)%,,10.25 0z,207,2508698,130Y,"C:65.3''
F:66.3''","C:64.5''
F:65''","C:60.7''
F:61.5''",50,13.5cm,,8/12/2025,10.5cm,56,+6,10.5cm,"C:57.5''
F:58.5''",2.80%,-1.79%,-9.90%,-2.40%,51.8'',58,8Burnner,28m/m,After Singeing width + 2'',165°C,Singeing+Heat Setting+Desized+Dryer(1Box 50°C) + Sanforized
X1812268-2,RNS090-12R5,,,,,,,,223,2409912,120Y,"C:54.8''
F:56.5''","C:56.5''
F:57''","C:56.5''
F:57''",50,10.0cm,,10/3/2024,8.0cm,56,+6,10.0cm,"C:54.2''
F:54.8''",1.25%,3.12%,15.12%,5.00%,46.0'',59,8 Burnner,28m/m,60'',180°C,Singeing + Desized + Dryer + Heat Setting + Sanforized
X170255-2,RES105-10R6,,,,,,,,320,2409834,30Y,"C:62.8''
F:63.5''","C:62.5''
F:63.2''","C:58''
F:59''",52,12.5cm,,9/13/2024,9.5cm,61,+9,10.0cm,"C:57.2''
F:58''",-0.04%,4.00%,-16.60%,-1.00%,47.6'',62,8 Burnner,28m/m,After Singeing width + 1'',165°C,Singeing +Heat Setting +Dryer(5box)+ Sanforized
RNS-100-21R6C,,"4464x40
8ring(Nishat) x 12-40D N.S(Nishat), 3/1 RHT",Dark Indigo#6C,Al-Islam Textile,,,,,305,2502133,284Y,,,"C:59''
F:60''",40,16.5cm,,3/1/2025,13.0cm,48,+8,12.0cm,"C:63''
F:64''",-1.95%,1.05%,-15.70%,1.00%,53.1'',47,8 Burnner,28m/m,After Singeing Width + 1'',175°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
RNS-100-14R8D,Rest Qut.,"4968x53
10OE(Badsha)+10ring slub(YT-260)Nishat X 16-70D N.S(Sunrey), 3/1RHT",Blue Black#8D,,,,,,310,2501041,116Y,,,"C:58''
F:58.8''",53,12.5cm,,1/25/2025,11.5cm,60,+7,11.0cm,"C:56.2''
F:56.7''",-0.40%,1.20%,-18.60%,-2.00%,45.7'',63,8 Burnner,28m/m,After Singeing width + 1'',160°C,Heat Setting + Desized (Singeing + Heat Setting + Desized + Dryer + Sanforied(Old))
RNS-100-14R8D,1st process,"4968x53
10OE(Badsha)+10ring slub(YT-260)Nishat X 16-70D N.S(Sunrey), 3/1RHT",Blue Black#8D,,,,,,310,2501041,60Y,,,"C:57.8''
F:58.5''",53,11.5cm,,1/21/2025,10.0cm,60,+7,11.0cm,"C:54.7''
F:55.8''",2.05%,1.58%,-23.35%,-2.80%,45.0'',62,8 Burnner,30m/m,After Singeing width + 1'',155°C,Singeing + Heat Setting + Desized + Dryer + Sanforized
RES095-07R6,,,,,,,,,241,,,56'',"C:56''
F:56.8''",,,,,9/4/2024,,,+0,,,,,,,,,8 Burnner,30m/m,After Singeing width + 4'',160°C,Singeing + Desized+ Heat Setting + Sanforized
PRS-115-03R9S,,"4200x42
7oe(Badsha)X10-40D(Lycra) Sunray , 3/1 RHT",Black #9S,BexHim Global,,,,,318,2503194,103Y,,,"C:60.2'
F:61.4''",42,14.0cm,,3/9/2025,11.0cm,48,+6,13.5cm,"C:60.1''
F:61.2''",2.16%,2.80%,-14.14%,-3.50%,51.6'',49,8 Burnner,32m/m,After Singeing Width + 1'',150°C,Singeing + Heat Setting+Desized+Dryer(1box cold wash) +Sanforized
X25277,X24203(copy),"3780X35
7siro Low TM 3.8(Nishat) X 6 Tencel(Envoy) , 3/1RHT",Natural #1,Vouge Sourcing,64''--65'',#+/-(3--4)%,,11.50oz,610,2509809,50Y,"C:66''
F:66.7''","C:67''
F:68''",,,,,,,,+0,,,,,,,,,8 Burnner,28m/m,M/C width 69'',120°C,Singeing+Dryer(1box cold water)+Heat Setting(cold Water)+Sanforized
X22262-1,Face Up,"7200 X 85
20ring(Compact BCI, Nishat)X20ring(Compact BCI, Nishat)+150-40D(N.S /Black 1:2)Hngzhou, SBC(RHT)",Black + PD#12A,Mardy,51''--52''(cut),#-(11--15)%,,9.00oz,219,2509842,100Y,"C:66''
F:67''","C:63.5''
F:64.8''","C:55.4''
F:56.7''",85,5.0cm,,9/29/2025,8.0cm,96,+11,7.0cm,"C:53.5''
F:54.5''",0.00%,-2.20%,-14.30%,0.00%,45.8'',96,8burnner,32m/m,After Singeing Width + 1'',145°C,Singeing+Heat Setting+Dryer(5box wash 85°C)+Black Padding 140GPL +Sanforized
X25301,X25268(copy),"4216X41
10siro X 7oe(Badsha), 3/1RHT -- STF",Dark Inidgo#6,STR ,65''full,#-(6)%,,65X41,509,2510903,60Y,"C:61.7''
F:62.7''","C:65.2''
F:66.8''","C:61.7''
F:62.7''",41,11.0cm,,10/13/2025,11.0cm,43,+2,11.0cm,"C:64.2''
F:65.4''",-1.50%,1.50%,-4.90%,-10.80%,61.0'',49,8Burnner,28m/m,67''(+5'' [Dryer width]),120°C,"Singeing(2B,S:45)+Dryer(1box cold water)+Heat Setting(cold Water)+Sanforized(PPI= +2)"
X19005,RNPS085-18L3,"6480X100
20ring(Nishat)X20rn(Nishat)+150+40D(Hanzhou), (1:2), SBC(LHT)",Grey#3,Warptex,49''--50'',# -(8--12)%,,8.50 oz,119,25010908,60Y,"C:63''
F:64.7''","C:61''
F:62.6''","C:57''
F:58.5''",100,5.0cm,,10/14/2025,8.0cm,111,+11,3.5cm,"C:56''
F:57''",-2.60%,-5.50%,-13.30%,2.80%,48.5'',111,8Burnner,30m/m,A/S width  +  1'',165°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
"X19005
Rest Qty",RNPS085-18L4,"6480X100
20ring(Nishat)X20rn(Nishat)+150+40D(Hanzhou), (1:2), SBC(LHT)",Grey#3,Warptex,49''--50'',# -(8--12)%,,9.50 oz,119,25010908,90Y,"C:63''
F:64.7''","C:60.8''
F:62.4''","C:55.6''
F:57''",100,6.0cm,,10/16/2025,6.0cm,114,+14,3.0cm,"C:54.6''
F:56''",-1.50%,-3.50%,-18.40%,0.50%,44.5'',114,8Burnner,30m/m,A/S width  +  1'',155°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25327,,"5940X55
12rsl(yt-260)Nisaht+12rsl(yt-204)Nishat+12ring(Badsha)(3:3:4) X 20-40DT/Raw, 4/1 Satin RHT",Blue Black#8I,Sainsbury Ladies,53''(cut),,,10.00 oz,118,2510975,100Y,"C:65''
F:66.8''","C:63.5''
F:64.8''","C:59.2''
F:60.8''",55,8.0cm,,11/3/2025,7.5cm,65,+10,8.0cm,"C:56.8''
F:58''",-1.07%,1.50%,-19.50%,2.30%,45.7'',64,8Burnner,30m/m,A/S width  +  1'',140°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25323,Important Note,"3797X43
7rn(Nishat)X10Tencel(Nishat), 3/1RHT    (S.T.F)",Dark Indigo#06,Echotex / Sainburry,65.5 '',#-(5--6)%,,10.75oz,513,2503253,50Y,"C:63.4''
F:64.4''","C:67.2''
F:68.2''","C:63.4''
F:64.4''",43,22.0cm,,10/29/2025,17.0cm,47,+4,16/17cm,"C:66.5''
F:67.2''",1.60%,3.30%,-6.10%,-2.40%,62.4'',46,8Burnner,28m/m,69.5'',120°C,"Singeing+Dryer(1box cold water,New Dryer)+Heat Setting(1box cold Water)+Sanforized"
X25330,RN125-08R55,"4060X44
8ring(Nishat) X 60e(Badsha), 3/1RHT,          (S.T.F)","Natural #1, ",,,,,13.25oz,206,2506496,45Y,"C:63''
F:64''","C:66.5''
F:67.5''","C:63''
F:64''",44,,,10/29/2025,12.5cm,46,+2,12.0cm,"C:66.8''
F:67.8''",0.00%,1.20%,-7.30%,-8.90%,61.9'',51,8Burnner,28m/m,69.5'',120°C,Singeing+Old Dryer(1box cold water)+Heat Setting(cold Water)+Sanforized
X25127,PRS105-09R6,"3752X43
7oe Low TM(Salek)X12-40D(N.S, BCI), 3/1RHT",Dark Inidgo#6,Trim Water,59.5'',#-(12--16)%,,10.50oz,222,2507645,75Y,"C:64.5''
F:65.5''","C:63.7''
F:64.8''","C:59.5''
F:60.4''",43,13.5cm,,10/29/2025,10.5cm,51,+8,12.0cm,"C:59.2''
F:60.2''",-0.74%,0.41%,-13.80%,2.00%,51.0'',50,8Burnner,30m/m,A/S  width + 1'',175°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25334,X25323 (copy),"4060X43
7ring(Badsha) X 10 Tencel(TM 4.00) 3/1RHT",Indigo#5,Echotex / Sainburry,,#(5--6)%,,10.75oz,302,2510909,80Y,"C:64''
F:64.8''","C:66.8''
F:67.8''","C:64''
F:64.8''",43,17.0cm,,11/5/2025,15.5cm,47,+4,17.5cm,"C:66.6''
F:67.5''",3.70%,0.00%,-5.85%,-5.40%,62.7'',49,8Burnner,28m/m,Machine : 69.5'',120°C,Singeing+Dryer(1box cold water)+Heat Setting (1box cold water)+Sanforized
X25336,,"4176X38
8ring(Nishat)X6OE(Badsha)+6ring(Nishat)(1:1), 3/1RHT",Indigo#5,C&A,67''--68'',#-(3--6)%,,9.50--9.75 oz,306,2510919,72Y,"C:64.6''
F:65.5''","C:67''
F:68''","C:64.6''
F:65.5''",38,14.5cm,,11/5/2025,15.5cm,47,+9,13.5cm,"C:67''
F:68''",2.05%,1.74%,-4.77%,-17.00%,63.8'',45,8Burnner,28m/m,Machine : 69.5'',120°C,Singeing+Dryer(1box cold water)+Heat setting(1box cold water)+No Sanforize
X25147,PRS105-09R6C,"3906x43
7oe Low TM(Salek must) X 12-40D(Nishat, BCI),3/1RHT",Dark Indigo#6C,Trim Wear,61''--62'',#-(12--16)%,,10.50oz,107,2506530,106Y,"C:67.5''
F:68.2''","C:66''
F:67.2''","C:62.2''
F:63.5''",43,14.5cm,,11/10/2025,12.0cm,51,+8,11.0cm,"C:61.8''
F:63''",-1.40%,0.00%,-12.60%,1.80%,54.0'',49,8Burnner,30m/m,A/S width  +  1'',175°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25147,PRS105-09R6C,"3906x43
7oe Low TM(Salek must) X 12-40D(Nishat, BCI),3/1RHT",Dark Indigo#6C,Trim Wear,61''--62'',#-(12--16)%,,10.50oz,107,2506530,80Y,"C:67.5''
F:68.2''","C:66.6''
F:67.7''","C:62.2''
F:63.5''",43,17.5cm,,11/13/2025,12.0cm,51,+8,12.0cm,"C:62''
F:63.2''",0.00%,-1.80%,-13.50%,1.00%,53.6'',50,8Burnner,30m/m,A/S width  +  1'',175°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
RNS110-07R8I,Test,,,,,,,,117,,50Y,"C:67.8''
F:67.4''","C:66.4''
F:67.4''",,,,,3/20/2025,,,+0,,,,,,,,,8Burnner,30m/m,A/S width  +  1'',150°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
RNS110-07R8I,Test,,,,,,,,117,,50Y,"C:67.8''
F:68.2''","C:66.4''
F:67.4''",,,,,3/20/2025,,,+0,,,,,,,,,8Burnner,30m/m,A/S width  +  1'',165°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25330,,"4060X44
8rn(Nishat)X6oe(Badsha) , 3/1R.H.T  (S.T.F)",Natural#01,Sainburry,65~66'',-(4~8)%,,11.5oz,,2505469,130Y,"C:63.7''
F:64.5","C:66.5''
F:67.5''","C:63.7''
F:64.5",44,14.5cm,,11/22/2025,11.5cm,46,+2,11.0cm,"C:66''
F:66.8''",0.30%,-0.90%,-6.06%,-9.00%,62.0'',50,8Burnner,28m/m,69.5'',120°C,Singeing+Dryer(cold water)+Heat Setting(cold water)+Sanforized
X22123,,"3564x42
7ring(Nishat) X 8-40D (N.S) Nishat) , 3/1 R.H.T",Indigo#5,Nitex,61~62'',-(11~15)%,+/-(3~4)%,11.00oz,414,25111026,100Y,"C:67''
F:68''","C:66.5''
F:67.5''","C:62.3''
F:63.3''",42,18.5cm,,11/25/2025,13.0cm,48,+6,12.5cm,"C:61.5''
F:62.8''",0.40%,-2.60%,,,51.8'',49,8 Burnner,25m/m,A/S width  +  2'',170°C,Singeing+Heat Setting+Dryer(1box cold water)+Sanforized
X25365,,"5184X58
12rsl(yt-199) Nishat X 20-70D(N.S)Sunray , 3/1 R.H.T",Dark Indigo#6c,Trim Wear,54~55''(cut),,,8.80 oz,510,25111049,120Y,"C:64''
F:64.5''","C:64''
F:65''","C:60''
F:61''",58,12.5cm,,11/26/2025,9.0cm,67,+9,10.0cm,"C:59''
F:60''",1.80%,0.00%,-16.10%,-0.50%,49.5'',67,8 Burnner,28m/m,A/S width  +  2'',180°C,Singeing+Heat Setting+Dryer(1box cold wash)+Sanforized
