sampleCode,sampleItemName,constructionNo,color,customerName,customerRequiredWidth,customerRequiredWidth%,customerRequiredLength%,customerRequiredWeight,loomNo,warppingNo,yard,beforeHeatSettingWidth,afterHeatSettingWidth,afterDryerWidth,weavingPPI,afterDryerSkew,sampleIssueDate,finishingDate,afterShrinkageSkew,afterShrinkagePPI,afterShrinkagePPI+,afterWashSkew,afterShrinkageWidth,boxPercentRightHand,boxPercentLeftHand,afterWashWidthPercent,afterWashLengthPercent,afterWashWidth,afterWashPPI,burnnerQnt,m/cSpeed,machineWidthSetting,tempSetting,sampleProcessingDetails
X25246,,"4464X48
10rsl(ty-233)Nishat X 16-70D T/Raw changzhou , 3/1RHT",Blue Black#8D,H&F,52'',,,,,2508755,68Y,"C:62.6''
F:63.4''","C:59.5''
F:60.5''","C:55''
F:55.8''",48,16.5cm,,9/3/2025,12.5cm,58,+10,8.5cm,"C:53.4''
F:54.1''",-4.60%,-3.50%,-20.70%,2.20%,42.3'',57,8Burnner,28m/m,After Singeing Width + 1'',160°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25237,,"6840x60
20rn(nishat)X20-40D N.S(Nishat), 3/1RHT",Blue black#8D,Eco Sourcing,61''--62'',# -(15--19)%,,6.75oz,219,2504310,60Y,"C:66.5''
F:66.8''","C:66''
F:67''","C:62.2''
F:63''",60,16.0cm,,8/16/2025,12.0cm,70,+10,10.0cm,"C:61.8''
F:62''",-4.30%,-0.76%,-15.60%,0.00%,52.1'',70,8 Burnner,28m/m,After Singeing width + 1'',180°C,Singeing+Heat Setting+Dryer(5Box 85°C) + Sanforized 
X25236,,"6840x60
20rn(Nishat)X20-40D N.S(Nishat), 3/1RHT",Dark Indigo#6,Eco sourcing,61''--62'',# -(15-19)%,,6.75oz,207,2508694,50Y,"C:66.8''
F:67.5''","C:65.8''
F:66.7''","C:62.7''
F:63.5''",60,12.0cm,,8/16/2025,11.5cm,70,+10,10.0cm,"C:61.8''
F:62.5''",-2.80%,-0.60%,-15.50%,1.80%,52.2'',69,8Burnner,28m/m,After singeing widht + 1'',180°C,Singeing+Heat Setting+Dryer(5Box 85°C) + Sanforized 
X25216-1,,"3888x42
7oeX10-40D(Nishat, BCI), Herringbone",Black #9L,Bershka,61'',,,,121,2507652,45Y,"C:68.2''
F:69''","C:66''
F:67''","C:59.7''
F:61''",42,15.0cm,,8/3/2025,12.5cm,48,+6,11.5cm,"C:59.2''
F:60.5''",0.71%,0.00%,-15.80%,-2.20%,49.8'',51,8 Burnner,30m/m,After Singeing Width+1'',150°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X25201,PRS105-09R6,"3906X43
7oe Low TM (Salek) X 12-40D(Nishat,  Physical BCI), 3/1 R.H.T",Natural#01,Trim Wear,61''--62'',#-(12--16)%,,10.50oz,608,2507561,120Y,"C:66.5''
F:67.8''","C:65.8''
F:66.8''","C:62''
F:63''",43,19.0cm,,7/26/2025,12.0cm,50,+7,12.0cm,"C:62.2''
F:63.4''",-3.50%,-5.50%,15.40%,-2.40%,52.6'',50,8 Burnner,30m/m,"After Singeing width +1""",175°C,Singeing+Heat Setting+Dryer(Old Dryer 1box) + Sanforized 
X25200,RNS120-02R5,"3888x42
7OE low TM x 8-40D(NS) , Herringbone
Salek                Nishat, ",Black,Bershka,,,,,121,2506492,60Y,"C:67''
F:68''","C:67.2''
F:68.7''","C:62.8''
F:64''",42,16.5cm,,7/26/2025,11.5cm,49,+7,10.5cm,"C:62.5''
F:63.7",-1.80%,-0.29%,-12.00%,-1.00%,55.0'',50,8 Burnner,32m/m,"After Singeing width +1""",170°C,Singeing+Heat Setting+Dryer(5Box 60°C) + Sanforized 
X25199,X25170(copy),"4464X51
9ring slub(yt-393)Nishat X 12-40D(Nishat), 3/1RHT",Dark Indigo + PD(#6A),Sainsbury,56''--57'',# -(6--10)%,,11.00oz,220,2507635,100Y,"C:66.7''
F:68.7''","C:65.6''
F:67.2''","C:55.4''
F:57''",51,14.0cm,,7/30/2025,10.0cm,59,+8,10.0cm,"C:55.2''
F:56.8''",0.70%,-1.30%,-7.40%,2.90%,51.1'',57,8 Burnner,30m/m,"After Singeing width +1""",160°C,Singeing+Heat Setting+Semi_Mercerized+Padding(140GPL) + Sanforized 
X25174,PRS105-09R6C,"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",Blue Black #9S,Trim wear,,,,,606,257584,122Y,"C:67''
F:67.8''","C:66''
F:67.2''","C:61.7''
F:62.8''",43,14.0cm,,7/8/2025,11.0cm,50,+7,12.5cm,"C:61.2''
F:62.2''",2.36%,1.18%,12.40%,0.00%,53.6'',50,8 Burnner,30m/m,"After Singeing width +1""",175°C,Singeing +Heat Setting+ Dryer(5box 85°c )+Sanforized
X25174,PRS105-09R6C,"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",Blue Black #9S,Trim wear,,,,,606,257584,122Y,"C:67''
F:67.8''","C:66''
F:67.2''","C:61.7''
F:62.88''",43,14.0cm,,7/8/2025,11.0cm,50,+7,12.5cm,"C:61.2''
F:62.2''",-2.36%,1.18%,-12.40%,0.00%,53.6'',50,8 Burnner,30m/m,After Singeing width + 1'',175°C,Singeing + Heat Setting + Dryer(5box 85°C) +Sanforized
X25170,,,,,,,,,207,2507583,145Y,"C:67''
F:68.2''","C:66''
F:67.7''","C:57''
F:58.7''",50,16.0cm,,7/8/2025,10.0cm,58,+8,9.5cm,"C:56.4''
F:57.8''",-0.58%,-1.30%,-7.80%,0.00%,52.0'',58,8 Burnner,30m/m,After Singeing width + 1'',160°C,Singeing+Heat Setting +Semi_Mercerized+Dryer(5box Wash 85°C)+Black Padding+Sanforized
X25156,,"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",Black,Trim wear,,,,,617,2507562,130Y,"C:67.8''
F:68.4''","C:65.9''
F:67''","C:62''
F:63''",43,15.0cm,,7/5/2025,12.0cm,51,+8,12.0cm,"C:63.4''
F:64.1''",1.49%,-1.19%,-13.70%,1.00%,53.1'',50,8 Burnner,30m/m,After Singeing width + 1'',175°C,Singeing+Heat Setting +Dryer(5box 60°C)+Sanforized
X25155,,"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",RFD#11,Trim wear,,,,,617,2507561,120Y,"C:66.8''
F:67.8''","C:66''
F:67''","C:61.2''
F:62.5''",43,8.0cm,,7/5/2025,9.5cm,48,+5,9.5cm,"C:60.8''
F:61.8''",3.10%,4.08%,-12.50%,-1.10%,53.2'',49,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing+Heat Setting +RFD+Dryer(Old)+Sanforized
X25151-2,,"3564x40
9ring(Nishat)+9siro slub(Nishat), (6:4) X 12-40D(Nishat, N.S), 3/1RHT",Blue Black #8D,Natural Indigo,,,,,617,2506537,22Y,"C:62''
F:63''","C:60.8''
F:61.8''","C:53.8''
F:54.8''",40,12.0cm,,6/30/2025,11.0cm,47,+7,10.0cm,"C:53.2''
F:54.2''",-1.70%,-2.30%,-16.40%,-3.00%,48.2'',44,8 Burnner,30m/m,"After Singeing width +2""",155°C,Singeing+Heat Setting + Dryer(60°C 5box) +Sanforized
X25151-1,,"3564x42
9ring(Nishat)+9siro slub(Nishat), (6:4) X 16-40D(Nishat, N.S), 3/1RHT",Blue Black #8D,Natural Indigo,,,,,617,2506537,22Y,"C:60.5''
F:61.5''","C:59''
F:60''","C:53.3''
F:54.4''",40,12.0cm,,6/30/2025,9.5cm,49,+9,9.0cm,"C:51.8''
F:52.8''",-1.57%,2.60%,-21.90%,0.00%,46.6'',49,8 Burnner,30m/m,"After Singeing width +2""",155°C,Singeing +heat Setting+ Dryer(5box 60°C) +Sanforized
X25149,RNS120-02R5,,,,,,,,617,2505434,125Y,"C:68''
F:68.8''","C:67''
F:67.7''","C:61.3''
F:62''",42,14.5cm,,6/25/2025,13.5cm,49,+7,11.5cm,"C:61.2''
F:62''",-1.30%,-1.49%,-7.30%,-3.00%,56.7'',49,8 Burnner,32m/m,"After Singeing width +1""",170°C,Singeing +Heat Setting + Dryer(5Box wash 85°C)+Black Padding(140GPL) +Sanforized
X25147,X25096(copy),"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",Dark Indigo#6C,Trim wear,,,,,616,2506530,100Y,"C:67''
F:67.5''","C:66''
F:67''","C:62''
F:63''",43,16.0cm,,6/25/2025,12.0cm,51,+8,12.0cm,"C:61.5''
F:62.5''",-1.78%,0.44%,-13.00%,1.00%,53.5'',50,8 Burnner,30m/m,After Singeing width + 1'',175°C,Singeing + Heat Setting+ Dryer(5box 60°C)+Sanforized
X25139,RNS120-02R6,"3888x42
7ring(Badsha) x 8-40D(N.S, nishat), 3/1RHT",Blue Black #8C,Natural Indigo/ Pull &Wear,,,,,617,2506519,126Y,"C:68''
F:68.8''","C:67.4''
F:68.1''","C:62''
F:62.8''",42,16.0cm,,6/26/2025,13.5cm,49,+7,12.0cm,"C:62.2''
F:63.1''",-0.40%,0.00%,-10.70%,0.00%,55.5'',49,8 Burnner,32m/m,After Singeing width + 1'',170°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X25137,RNS120-02R5,"3888x42
7ring(Badsha) x 8-40D(N.S, nishat) ,3/1RHT",Grey#03,Natural Indigo/ Pull &Wear,,,,,617,2506521,120Y,"C:67.5''
F:68.5''","C:66.8''
F:67.7''","C:62''
F:63.2''",42,16.0cm,,6/25/2025,12.5cm,50,+8,12.0cm,"C:62''
F:62.5''",-0.59%,1.33%,-11.60%,0.00%,54.8'',50,8 Burnner,32m/m,After Singeing width + 1'',170°C,Singeing + Heat Setting + Dryer(5box 60°C) +Sanforized
X25121,X25096(copy),"3906X43
7oe Low TM(Salek)X12-40D(Nishat, BCI), 3/1RHT",Black#9L + PD(#12A),Trim Wear,61''--62'',# -(12--16)%,,10.50oz,609,2506492,122Y,"C:67.2''
F:68.2''","C:66.2''
F:67.5''","C:61.2''
F:62.2''",43,14.5cm,,6/21/2025,13.5cm,51,+8,10.0cm,"C:61''
F:62''",-2.80%,0.10%,-11.40%,0.00%,54.0'',51,8burnner,30m/m,After Singeing width + 1'',170°C,"Singeing+Heat Setting+Dryer(5box wash 85°C, Speed-30m/m)+Black Padding 140GPL +Sanforized"
X25096,X25086 (copy),"3906x43
7oe low TM(Salek) X 12-40D(nishat, BCI), 3/1RHT",Indigo#5,MKT,,,,,506,2505405,48Y,"C:65.5''
F:66.8''","C:65.5''
F:66.5''","C:61.5''
F:62.5''",43,15.5cm,,5/14/2025,10.5cm,51,+8,11.0cm,"C:61.5''
F:62.5''",2.40%,-0.60%,-14.40%,2.40%,52.6'',49,8 Burnner,30m/m,After Singeing width+1'',175°C,Singeing +Heat Setting + Dryer(5box 60°C) + Sanforized
X25092-3,,,,,,,,,218,2505388,66Y,"C:60.8''
F:61.7''","C:59''
F:60.6''","C:55.7''
F:57.3''",51,13.5cm,,5/22/2025,12.0cm,62,+11,9.0cm,"C:54.5''
F:55.8''",0.65%,-1.96%,-14.40%,4.60%,46.6'',71,8 Burnner,28m/m,"After Singeing width + 1""",170°C,Singeing + H/S + Dryer(5box 60°C) + Sanforized(3st Time)
X25092-2,,,,,,,,,319,2503388,88Y,"C:61.2''
F:63''","C:60.8''
F:62.5''","C:60.8''
F:62.5''",51,16.0cm,,5/13/2025,14.0cm,63,+12,8.0cm,"C:55.8''''
F:57.2'",-3.50%,-0.90%,-15.50%,-11.30%,46.8'',70.5,8 Burnner,28m/m,"After Singeing width+2""",170°C,"Singeing + H/S + Dryer + Sanforized
1st time sanfo"
X25092-2,,,,,,,,,319,2505388,88Y,"C:61.2''
F:63''","C:60.8''
F:62.5''","C:55.8''
F:57.2''",63,14.0cm,,5/14/2025,10.0cm,70,+7,8.5cm,"C:55.4''
F:56.8''",-1.84%,-0.46%,-15.50%,-1.50%,47.0'',71,8 Burnner,28m/m,"After Singeing width+2""",170°C,"Singeing + H/S + Dryer + Sanforized
2nd time Sanfo"
X25086,,"3906X43
7oe low TM(Badsha) X 12-40D(nishat, BCI), 3/1RHT",Indigo#5,Trim wear/ANDENE,,,,,304,2503230,100Y,"C:67''
F:67.8''","C:66.3''
F:67.3''","C:62.2''
F:63.2''",43,14.0cm,,5/5/2025,13.0cm,50,+7,13.5cm,"C:62''
F:63''",-0.85%,0.28%,-12.90%,1.00%,54.0'',46,8 Burnner,30m/m,"After Singeing width +1""",180°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25070,,"5508X51
16-40 N.S(Nishat)X16-70D(Ployester/Black Lycra/Hangzhou), 3/1RHT",Black (#9S),Self Development,,,,,,,,,,,,,,4/19/2025,,,+0,,,,,,,,,8 Burnner,28m/m,After Singeing width + 1'',170°C,Singeing+Heat Setting+Dryer(5Box 60°C) + Sanforized(1st&2nd times)-Mean 2times had processed in shrinkag
X25064,,"6840X60
20ring(Nishat) X 200-40D Recycle, Hangzhou , 3/1RHT",Blue Black#8D,C&A/Ladies Wear,,,,,120,2504310,120Y,,,"C:62.5''
F:63.5''",60,17.0cm,,4/21/2025,10.5cm,70,+10,12.5cm,"C:60.8''
F:61.7''",0.37%,1.43%,-1.79%,1.00%,56.0'',69,8 Burnner,30m/m,After Singeing Width + 1'',150°C,Singeing + H/S + Dryer(5box 60°C) + Sanforized
X25062,Please Insert Data,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
X25061,,"6840x60
20rn(Nishat) X 20-40D N.S(Nishat), 3/1RHT",Dark Indigo#6C,Lidl/Singapur,,,,,321,2502175,94Y,"C:67.5''
F:68.5''","C:66.8''
F:67.5''","C:63''
F:63.7''",60,11.0cm,,3/10/2025,8.5cm,68,+8,10.0cm,"C:62.2''
F:63.2''",3.80%,-6.20%,-18.00%,-0.40%,51.0'',70,8 Burnner,28m/m,"After Singeing width +1""",180°C,Singeing + H/S + Desized + Dryer(1box) + Sanforized
X25053,,"4468X42
8ring(Nishat)X10-40D Lycra(Sunray), 3/1RHT",Dark Indigo#6C,C&A,,,,,308,2503246,70Y,,,"C:62.7''
F:63.8''",42,15.5cm,,3/20/2025,12.0cm,51,+9,12.0cm,"C:62.6''
F:63.5''",-0.10%,1.50%,18.20%,1.00%,51.2'',50,8 Burnner,30m/m,After Singeing width + 1'',160°C,Singeing + H/S + Dryer(5box 60°C) + Sanforized
X25037-2,,"4464x43
8ring(Nishat) X 12 - 40D N.S(Nishat), 3/1 RHT",Dark Indigo#6C,Test Purpose,,,,,516,2502133,60Y,,,"C:58.6''
F:59.6''",43,19.0cm,,3/4/2025,13.0cm,51,+8,12.0cm,"C:58.8''
F:59.6''",-1.50%,0.90%,-14.30%,0.00%,50.2'',53,8 Burnner,28m/m,After Singeing Width + 1'',170°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
