Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
X25043,RS120-09R5,Regular Finish,"4488X37
8oe(Badsha)+9rsl(YT-329)Nishat X 7oe(Badsha)",Indigo#5,MBI,,,,,,17/03/2025,604,2503231,150Y,"C:62.8''
F:63.4''",37,9.0cm,7.5cm,42,5,8.0cm,"C:62.8''
F:63.5''",1.59%,-1.57%,-2.30%,-3.40%,61.3'',43,Singeing + Dryer(5box60°C)+Sanforized(Face down),
X25044,RN075-04R6,Regular Finish,"4800x44
12rsl(YT-204)Nishat + 12oe(Badsha) 3:7 X 16rsl(YT-161)(Nishat)+16ring(Nishat), 2/1RHT",Dark Indigo#6,Jennyfer,,,,,,18/03/2025,208,2503238,170Y,"C:60''
F:60.7''",44,8.5cm,8.5cm,50,6,10.0cm,"C:59.4''
F:60''",2.15%,0.99%,-1.10%,-1.00%,58.7'',51,Singeing + Dryer(5box60°C)+Sanforized(Face Up),
X25045,RN075-04R9L,Regular Finish,"4800X44
12rsl(yt-204)Nishat + 12oe(Badsha) (3:7) X 16rsl(YT-161) Nishat + 16ring(Nishat), 2/1RHT",Black #9L,Jennyfer,,,,,,17/03/2025,109,2503239,116Y,"C:58.8''
F:59.4''",44,7.0cm,6.0cm,51,7,9.3cm,"C:59''
F:59.8''",2.94%,0.56%,-0.80%,0.00%,58.5'',51,Singeing + Dryer(5box60°C)+Sanforized(Face down),
X25046,,Regular Finish,"3888X39
7oe Low TM(Badsha) X 7oe(Badsha), 3/1RHT",Indigo#5,Jeans Manufacturing,,,,,,17/03/2025,513,2503230,69Y,"C:64.2''
F:65.2''",39,12.0cm,12.0cm,46,7,14.0cm,"C:64''
F:65''",1.99%,-0.28%,-1.50%,0.00%,63.0'',46,Singeing +Dryer(5box 60°C)+ Sanforized,
X25047,,Regular(Optical White),"4216X44
10oe(Badsha)X10-70D(Nishat), 3/1RHT",Optical White#2,Echotex,,,,,,19/03/2025,211,2503221,122Y,"C:53.8''
F:55''",44,11.0cm,10.0cm,49,5,9.5cm,"C:52.8''
F:53.8''",-2.18%,1.56%,-16.60%,-3.00%,44.0'',52,Singeing + Dryer(5box60°C)+Sanforized(Old),
X25048,,Regular Finish,"4464x42
7ring(nishat)x7OE(Badsha), 3/1RHT
",Dark Indigo#6,H&F,,,,,,20/03/2025,506,2503253,120Y,"C:65.2''
F:66.5''",42,16.0cm,12.0cm,50,8,14.0cm,"C:66.''
F:66.6''",1.40%,1.40%,-2.20%,0.00%,64.5'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25049,,Regular Finish,"3906X42
7ring(Nishat)+7rsl(Q-476)(Nishat),7:3 X 8oe(Badsha)+10-70D(Nishat) 1:1, 3/1RHT",Black#9S,Jennyfer,,,,,,21/03/2025,201,2503254,140Y,"C:61.2''
F:62.2''",42,15.5cm,12.5cm,49,7,12.0cm,"C:60.5''
F:61.5''",-1.46%,1.50%,-12.30%,0.00%,53.0'',49,Singeing + Dryer(5box50°C)+Sanforized,
X25050,,Regular Finish,"3888X39
7ring(Badsha)X7oe(Badsha), 3/1RHT",Indigo#5,Lefties/ Jeans Manufacturing,,,,,,19/03/2025,513,2502170,50Y,"C:63.7''
F:64.5''",39,16.5cm,13.0cm,46,7,14.5cm,"C:63.6''
F:64.4''",-0.28%,1.13%,0.90%,0.00%,63.0'',46,Singeing + Dryer(5box60°C)+Sanforized,
X25051-1,,Regular Finish," 4468X50
8ring(Nishat) X 200-40D(Recycle Poly)Hangzhou, 3/1RHT",Dark Indigo#6C,C&A,,,,,,22/03/2025,105,2503233,75Y,"C:61''
F:62''",50,15.0cm,11.0cm,59,9,10.5cm,"C:58.8''
F:60''",0.43%,-1.02%,-9.86%,2.00%,53.0'',57,Singeing + Dryer(5box50°C)+Sanforized,
X25052,RNS105-08R6,Regular Finish,"4896X50
10rsl(YT-199)X12-40D N.S(Nishat), 3/1RHT",Dark Indigo#6,Natural Indigo,,,,,,22/03/2025,219,2503255,150Y,"C:58''
F:59''",50,13.0cm,10.0cm,59,9,10.0cm,"C:57.5''
F:58.5''",-1.52%,0.61%,-12.20%,0.00%,47.6'',59,Singeing + Dryer(5box50°C)+Sanforized,
X25053,,Heat Setting,,,,,,,,,20/03/2025,308,2503246,70Y,"C:62.7''
F:63.8''",42,15.5cm,12.0cm,51,9,12.0cm,"C:62.6''
F:63.6''",-0.10%,1.50%,18.20%,1.00%,51.2'',50,5Box ( 60°C),
X25054,,Regular,"4464X41
8rnX7oe(Badsha), 3/1RHT",Black#9L,MKT,,,,,,22/04/2025,203,2504324,93Y,"C:64.8''
F:65.8''",41,15.5cm,12.0cm,48,7,13.0cm,"C:65''
F:66''",0.14%,0.00%,-1.38%,0.00%,64.1'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25054,,Regular,"4176X41
8ring(Nishat) X 7oe(Badsha), 3/1RHT",Black#9L,Jennyfer,,,,,,20/03/2025,510,2501052,100Y,"C:60.7''
F:61.5''",41,14.0cm,11.0cm,49,8,12.0cm,"C:60.8''
F:61.6''",3.20%,0.00%,1.30%,0.00%,60.0'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25055,,Regular,"4200X41
8rn(Badsha) X 7oe(Badsha), 3/1RHT",Indigo#5,MKT,,,,,,22/04/2025,301,2503197,180Y,"C:61.5''
F:62.5''",41,14.0cm,11.0cm,49,8,12.0cm,"C:61.1''
F:62.6''",1.12%,-0.28%,-1.29%,1.00%,60.8'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25055,,Regular Finish,"4200X41
8rn(Badsha) X 7oe(Badsha), 3/1RHT",Indigo#5,Jennyfer,,,,,,20/03/2025,107,2503197,82Y,"C:61.5''
F:62.4''",41,15.5cm,12.0cm,49,8,12.0cm,"C:61.4''
F:62''",1.90%,-1.10%,-1.30%,-0.50%,60.6'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25056,,Reguler Finish,"4468x40
8rnX12-40D(Texhong), 3/1RHT",Dark Indigo#6C,MKT,,,,,,04/05/2025,106,2504338,130Y,"C:63.5''
F:64.5""",40,18.0cm,12.0cm,47,7,10.0cm,"C:615''
F:62.6''",0.30%,-2.70%,-14.14%,0.00%,52.8'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25056,,Regular,"4468x40
8ring X 12-40D T/Raw, 3/1RHT",Dark Indigo#6C,C&A,,,,,,17/04/2025,105,2504303,180Y,"C:64''
F:65.1''",40,17.5cm,10.0cm,47,7,10.0cm,"C:61.8''
F:62.8''",-0.90%,3.50%,-13.70%,-2.00%,53.3'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25057,,Regular,,,,,,,,,23/04/2025,308,2504321,155Y,"C:61.7''
F:62.7''",40,14.5cm,10.0cm,47,7,11.5cm,"C:61.7''
F:62.7''",-0.46%,184.00%,-14.70%,0.00%,52.6'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25058,,Regular,,,,,,,,,17/04/2025,106,2503272,58Y,"C:64''
F:65.3''",40,14.0cm,11.5cm,47,7,10.5cm,"C:61.8''
F:63''",-1.50%,1.50%,-12.20%,-1.00%,54.2'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25059,,Regular,,,,,,,,,11/04/2025,106,2503272,60Y,"C:63.8''
F:65''",40,17.0cm,11.0cm,47,7,11.0cm,"C:61.8''
F:63''",-0.10%,0.40%,-12.60%,-1.00%,54'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25059,,Regular,"4468x40
8oe(Badsha)X12-40 T/Black, Xuzhou, 3/1RHT",Black #9L,SF Denim ,61''--62'',,#  -(10--14)%,10.5 oz,,09/08/2025,221,2508690,124Y,"C:63.8''
F:64.8''",40,17.0cm,12.5cm,47,7,11.5cm,"C:61.5''
F:62.5''",-1.20%,-1.20%,-11.30%,-0.60%,54.5'',47,Singeing?Dryer(5box 60°C)?Sanforized,
X25062-1,,Regular Finish,"5508X51
16-40D N.S(Nishat) X 16-70D(Polyester/black Lycra, changzhou), 3/1RHT",Black #9S,Self Development,,,,,,18/04/2025,120,2404300,100Y,"C:54.8''
F:55.8''",51,11.0cm,8.0cm,60,9,8.0cm,"C:53''
F:54''",1.28%,0.63%,-5.28%,-15.20%,50.2'',69,Singeing?Heat Setting ? Dryer(1box50°C)?Sanforized,
X25062-2,,Regular,,,,,,,,,17/04/2025,120,2503004,100Y,"C:
F:",51,0.0cm,5.0cm,61,10,7.0cm,"C:51.8''
F:53''",3.47%,1.47%,-10.23%,-17.50%,46.5'',76,Singeing + Dryer(5box60°C)+Sanforized(1st time),
X25065,,Regular,"4200X45
7OE X 12-40D(T/Raw), 3/1RHT",Indigo#5,Taiwan,,,,,,17/04/2025,301,2504237,78Y,"C:61''
F:61.8''",45,17.5cm,11.0cm,53,8,13.0cm,"C:59.5''
F:60''",0.20%,4.80%,-8.20%,0.00%,54.6'',53,Singeing + Dryer(5box60°C)+Sanforized,
X25066,,Regular Finish,"4464X53
10siro(Badsha)X16-70D T/Raw(Changzhou), 3/1RHT",Dark Indigo#6,Sainsbury,,,,,,20/04/2025,106,2504309,103Y,"C:57''
F58''",53,14.0cm,10.0cm,62,9,9.0cm,"C:53''
F:54''",-2.50%,1.52%,16.90%,0.00%,44.0'',62,Singeing + Dryer(5box60°C)+Sanforized,
X25069,SR085-01R6,Regular,"4488x42
10siro(Badsha) X 12ring(Nishat), 3/1RHT",Dark Indigo,C&A / test purpose,,,,,,18/04/2025,106,2504369,90Y,"C:62.4''
F:63.5''",42,15.0cm,13.0cm,49,7,14.0cm,"C:63''
F:64''",-0.70%,-0.70%,0.79%,1.00%,63.5'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25071,,Regular Finish,"4200x45
7oeX16-70D Poly viscose Raw T/Raw, Xuzhou, 3/1RHT",Indigo#5,Taiwan,,,,,,21/04/2025,404,254314,70Y,"C:57''
F:58''",45,15.5cm,11.0cm,53,8,11.5cm,"C:54.8''
F:55.8''",-0.78%,2.03%,-18.70%,-1.70%,44.5'',54,Singeing + Dryer(5box60°C)+Sanforized,
X25073,,Reguler Finish,"4464X39
8ring(Nishat)X8oe(Badsha), 3/1RHT",Grey#3B,Tusuka Group,,,,,,27/04/2025,618,2504339,103Y,"C:65""
F:65.8""",39,14.0cm,10.0cm,47,8,14.0cm,"C:64.8''
F:65.8""",1.84%,2.80%,-1.25%,1.00%,64.0'',46,Singeing + Dryer(5box60°C)+Sanforized,
X25074,,Regular,"4464X39
8ring X 8oe(Badsha), 3/1RHT",Indigo#5,Tusuka Group,,,,,,24/04/2025,107,2504319,100Y,"C:65''
F:65.8''",39,16.0cm,14.0cm,47,8,14.5cm,"C:65.4''
F:66.4''",-0.42%,0.28%,-1.22%,0.00%,64.6'',46,Singeing + Dryer(5box60°C)+Sanforized,
X25075,,Regular,"4200x45
7oe X 16-40D T/Raw (poly Viscose Raw, Hangzhou) + 16-70D T/Raw(Poly viscose raw, Hangzhou) 1:1, 3/1RHT",Indigo#5,Taiwan,,,,,,23/04/2025,320,2504314,60Y,"C:58.8''
F:59''",45,15.5cm,10.5cm,54,9,12.5cm,"C:56.6''
F:57.6''",0.45%,1.52%,16.40%,0.00%,47.5'',54,Singeing + Dryer(5box60°C)+Sanforized,
X25076-1,,Regular Finish,"4468x40
8oe(Badsha)X12-40 (T/Black, Xuzhou)+12-70D (T/Raw,Envoy)(2:1) 3/1RHT",Dark Indigo#6C,C&A,,,,,,18/05/2025,121,2503272,120Y,"C:62.7''
F:63.7''",40,16.0cm,11.5cm,47,7,11.5cm,"C:60.5''
F:61.5''",1.38%,0.00%,15.70%,-1.00%,51.0'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25076-2,,Regular Finish,"4468x40
8oe(Badsha)X12-40 (T/Black, Xuzhou)+12-70D (T/Raw,Envoy)(1:1) 3/1RHT",Dark Indigo#6C,C&A,,,,,,,,,,,,,,,0,,,,,,,,,Singeing + Dryer(5box60°C)+Sanforized,
X25077-1,,Reguler Finish,"4200X48
7oe X 16-40D (T.R/Raw)Changzhou+16-70D(T.R/Raw)Xuzhou, 1:2, 3/1RHT",Indigo#5,Taiwan,,,,,,24/04/2025,320,2504314,80Y,"C:58.2""
F:59.2''",48,14.5cm,11.0cm,57,9,12.0cm,"C:55.8''
F:56.8''",2.70%,0.76%,-16.10%,0.00%,46.8'',57,Singeing + Dryer(5box60°C)+Sanforized,
X25077-2,,Reguler Finish,"4200X48
7oe X 16-40D (T.R/Raw)Changzhou+16-70D(T.R/Raw)Xuzhou, 1:3, 3/1RHT",Indigo#5,Taiwan,,,,,,25/04/2025,320,2504314,,"C:57""
F:58""",48,14.5cm,9.5cm,57,9,11.0cm,"C:55.6''
F:56.4""",2.31%,0.46%,16.70%,1.80%,46.3'',58,Singeing + Dryer(5box60°C)+Sanforized,
X25078,,Reguler Finish,,,,,,,,,28/05/2020,210,2504347,100Y,"C:60''
F:61''",42,15.0cm,11.0cm,50,8,12.5cm,"C:59.2''
F:60.2''",1.54%,-0.40%,-20.20%,0.00%,47.2'',50,Singeing + Dryer(5box60°C)+Sanforized,
X25079,,Regular,"4464x44
10rls(Nishat)X12-70D T/Raw, 3/1RHT",Blue Black#8D,Test Sample,,,,,,24/04/2025,Issue date,,,,,,,,0,,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized ,
X25080-2,,Regular Finish,"4468x40
8ring(Nishat)X12-40D(T/Raw)(Texhang)+12-70D(T/Raw)Envoy, 4:1, 3/1RHT",Dark Indigo#6C,C&A,,,,,,30/05/2025,223,2505425,205Y,"C:63''
F:64''",40,16.0cm,9.0cm,46,6,10.0cm,"C:60.4''
F:61.2''",0.90%,4.20%,16.30%,3.50%,50.5'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25080-2,,Regular Finish,"4468x40
8ring(Nishat)X12-40D(T/Raw)Texhong+12-70D T/Raw(Envoy), 4:1, 3/1RHT",Dark Indigo#6C,C&A,,,,,,25/05/2025,618,2505437,122Y,"C:63.5''
F:64.5''",40,16.5cm,10.0cm,47,7,10.0cm,"C:60.6''
F:61.6''",0.76%,0.61%,-15.80%,-1.00%,51.0'',48,Singeing + Dryer(5box60°C)+Sanforized,
X25080-2,,Reguler Finish,"4468x40
8ringX12-40D T/Raw(Texhong) + 12-70D T/Raw (Envoy), (4:1), 3/1RHT",Dark Indigo#6C,MKT,,,,,,04/05/2025,408,2504338,120Y,"C:62.5''
F:63.5""",40,17.0cm,11.5cm,47,7,10.0cm,"C:60''
F:61.1''",0.30%,-2.30%,-15.50%,-1.40%,50.7'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25081,,Reguler Finish,"4692x44
12ring(Nishat)X12ring(Nishat)",Black#9S,SF Denim / C&A,,,,,,02/05/2025,301,2504356,100Y,"C:59.5''
F:60.1""",44,10.0cm,10.0cm,51,7,11.5cm,"C:60.2''
F:60.9''",3.50%,0.28%,-0.30%,0.00%,60.0'',51,Singeing + Dryer(5box60°C)+Sanforized,
X25083,,Regular,"4752x42
8siro(nishat)X10Tencel, 3/1RHT",Indiog#5,Sainsbury-Ladies,,,,,,,,,05Y,,,,,,0,,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized ,
X25084,,Regular,"4752x41
7.5ring Low TM 3.8(Nishat) X 10 Tencel, 3/1RHT",indigo#5,Sainsbury-Laides,,,,,,27/04/2025,Issue date,,05Y,,,,,,0,,,,,,,,,,
X25085,,Reguler Finish,"4464X37
7oeX8oe(Badsha), 3/1RHT",Indigo#5,MKT,,,,,,04/05/2025,606,2504365,80Y,"C:65.5''
F:66.4""",37,17.0cm,14.0cm,44,7,13.5cm,"C:65.6''
F:66.4''",1.42%,0.28%,-2.28%,0.00%,64.0'',44,Singeing + Dryer(5box60°C)+Sanforized,
X25087-1,,Regular,"4464x40
8ring(nishat) X 12-40D T/Raw (Texhong) + 12-70D T/Raw (Envoy) (4:1),3/1RHT",Dark Indigo#,C&A,,,,,,29/04/2025,Issue date,,02Y,,,,,,0,,,,,,,,,,
X25087-2,,Regular,"4464x40
8ring(nishat) X 12-40D T/Raw (Texhong) + 12-70D T/Raw (Envoy) (5:1),3/1RHT",Dark Indigo#,C&A,,,,,,29/04/2025,Issue date,,02Y,,,,,,0,,,,,,,,,,
X25088,PR095-03L5(#9S),Reguler Finish,"4752x40
10OE X 10rn(Nishat, BCI), 3/1RHT",Black #9S,C&A/ Test purpose,,,,,,02/05/2025,107,2504320,30Y,"C:60.7""'
F:61.4''",40,17.5cm,15cm,48,8,14.0cm,"C:60.7''
F:61.4'",1.40%,-0.28%,-1.97%,1.00%,59.5'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25089,PR095-05L5,Reguler Finish,"4752X40
10OE BTL x 10rn(Physical BCI, Nishat), 3/1LHT",Indigo£5,C&A / test purpose,,,,,,06/05/2025,301,2505374,64Y,"C:60.3""'
F:61.2'",40,14.0cm,13.0cm,46,6,13.5cm,"C:61''
F:61.8'",0.72%,-2.00%,-1.80%,-2.00%,59.9'',46,Singeing + Dryer(5box60°C)+Sanforized,
X25090,,Reguler Finish,,,,,,,,,06/05/2025,406,2502170,30Y,"C:62""'
F:63''",47,16.5cm,13.0cm,56,9,15.5cm,"C:62.2''
F:62.8'",2.00%,1.15%,-4.82%,1.00%,59.2'',55,Singeing + Dryer(1Box 50°C)+Sanforized,
X25091,,Reguler Finish,,,,,,,,,06/05/2025,406,2502170,60Y,"C:62""'
F:63''",47,16.0cm,12.5cm,55,8,15.5cm,"C:62.2''
F:62.8'",1.44%,1.73%,-4.18%,-0.50%,59.6'',55,Singeing + Dryer(1Box 50°C)+Sanforized,
X25092-1,,Regular Finish(1st Time),,,,,,,,,18/05/2025,319,2505388,70Y,"C:55.5''
F:55.7''",51,16.0cm,11.0cm,64,13,8.5cm,"C:54.7''
F:56''",-0.65%,-0.32%,-15.50%,-10.80%,46.2'',71,Singeing + Dryer(5box60°C)+Sanforized,
X25092-2,,Regular Finish(2nd Time),,,,,,,,,18/05/2025,319,2505388,70Y,"C:55.5''
F:56.7''",51,11.0cm,9.0cm,71,20,9.5cm,"C:54.5''
F:56''",0.00%,0.30%,-14.50%,-0.50%,46.6'',71,Singeing + Dryer(5box60°C)+Sanforized,
X25092-3,,Regular Finish,,,,,,,,,23/05/2025,218,2505388,66Y,"C:54.5''
F:55.8''",62,12.0cm,9.0cm,68,6,9.0cm,"C:54.2''
F:55.6''",-0.77%,0.62%,14.02%,4.60%,46.6'',71,Singeing + Dryer(5box60°C)+Sanforized,
X25093,,Reguler Finish,"4176X43
7oe(Badsha)X10-70D(Nishat), 3/1RHT",Indigo#5,ECO Sourcing,,,,,,08/05/2025,303,2504365,65Y,"C:60""
F:61''",43,16.0cm,13.0cm,49,6,12.0cm,"C:59''
F:60''",-3.70%,2.80%,-18.30%,-1.70%,48.2'',50,Singeing + Dryer(5box60°C)+Sanforized,
X25094,,Regular Finish,"4320X39
8ringX7oe(Badsha), 3/1RHT",Indigo#5,FCO Sourching,,,,,,13/05/2025,415,2505389,69Y,"C:65.5''
F:66.2''",39,10.5cm,12.5cm,45,6,13.5cm,"C:65.6''
F:66.4''",0.00%,1.85%,-1.60%,-1.40%,64.9'',46,Singeing + Dryer(5box60°C)+Sanforized(Old),
X25095,,Regular Finish,"4347X39
8ringX7oe(Badsha), 3/1RHT",Indigo#5,ECO Sourcing,,,,,,13/05/2025,415,2505389,84Y,"C:65.2''
F:66.2''",39,16.0cm,12.0cm,46,7,13.0cm,"C:65.4''
F:66.4''",1.99%,-0.70%,-1.20%,0.00%,64.6'',46,Singeing + Dryer(5box60°C)+Sanforized,
X25096,,Heat Setting,,,,,,,,,22/06/2025,609,2505405,200Y,"C:62''
F:63.3''",43,17.5cm,12.0cm,50,7,10.5cm,"C:61.6''
F:62.6''",0.00%,1.00%,13.30%,0.50%,53.4'',50,Singeing + H/S+ Dryer(5Box 60°C)+ Sanfo,
"X25096 H.S copy in 6C
X25147",,Heat Setting,,,,,,,,,25/06/2025,616,2506530,100Y,"C:62''
F:63''",43,16.0cm,12.0cm,51,8,12.0cm,"C:61.5''
F:62.5''",-1.78%,0.44%,13.00%,1.00%,53.5'',50,Singeing + Heat Setting+ Dryer(5Box 60°C) + Sanforized,
X25097,,Regular Finish,"4752x40
10oeX10oe+10rls, 3/1LHT",Indigo#5,IDS,,,,,,12/05/2025,223,2505374,77Y,"C:63.5''
F:64.3''",40,13.0cm,11.5cm,47,7,13.0cm,"C:63.5''
F:64.3''",-0.56%,-3.50%,-1.73%,0.00%,62.4'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25098,,Reguler Finish,"4750x41
12ring+12rls(8:1) X 6oe(Badsha), 3/1RHT",Indiog#5,Echotex ltd,,,,,,09/05/2025,603,2502106,20Y,"C:62""
F:63.4''",41,17.5cm,14.0cm,48,7,10.0cm,"C:62.4''
F:63.1''",-4.20%,-1.70%,-0.90%,-1.00%,61.8'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25099,,Regular Finish,"4600x45
7oe(Badsha)+10OE(Badsha), (3:7) X 10OE(Badsha), 2/1RHT",Dark Inidigo#6,Just James,,,,,,16/05/2025,508,2505390,97Y,"C:61''
F:62''",45,10.5cm,7.5cm,52,7,7.5cm,"C:61.2''
F:62''",0.15%,0.00%,-1.63%,1.00%,60.2'',51,Singeing + Dryer(5box60°C)+Sanforized,
X25100,,Regular Finish,"4600x44
7oe(Badsha)+10oe(Badsha), 3:7 X 450D(Hangzhou), 2/1 RHT",Dark Indigo#6,Just James,,,,,,16/05/2025,508,2505390,100Y,"C:61''
F:62''",44,10.0cm,7.0cm,51,7,9.5cm,"C:59.5''
F:60.4''",2.15%,1.50%,-1.35%,-0.50%,58.7'',51,Singeing + Dryer(5box60°C)+Sanforized,
X25101,,RFD,"4400x50
7oe(Badsha)+9oe(Badsha), (1:2) X 10-70D(Nishat)+10OE(Badsha),(1:1),3/1RHT",RFD#11,Natural Indigo#11,,,,,,17/05/2025,320,2505402,100Y,"C:58.8''
F:59.8''",50,12.0cm,9.0cm,56,6,11.0cm,"C:58.7''
F:59.7''",0.44%,3.20%,-8.30%,-1.00%,53.8'',57,"Singeing + Dryer(Old, 1Box cold water)+Sanforized(Old)",
X25102,STS095-04R5,Regular Finish,"4590x43
10OEx16-40D(Nishat)+16-70D(Sunray), (1:1), 2/1RHT",Indigo#5,Echotex,,,,,,18/05/2025,209,2505374,107Y,"C:57.8''
F:58.8''",43,9.5cm,7.0cm,50,7,7.5cm,"C:56.5''
F:57.5''",2.03%,-0.78%,20.18%,0.00%,45.1'',50,Singeing + Dryer(5box60°C)+Sanforized,
X25103,STS095-04R5,Regular Finish,"4590X43
10OE(Badsha) x 16-40D(N.S, Nishat)+16-70D(Sunray), (1:1), 2/1RHT",Ecru(#01),Echotex,,,,,,18/05/2025,209,2505385,92Y,"C:60''
F:61''",43,6.0cm,2.5cm,51,8,7.0cm,"C:58.5''
F:59.5''",4.15%,5.09%,24.10%,-0.50%,44.4'',51,Singeing + Dryer(5box60°C)+Sanforized,
X25104-1,PR137-01R5,Regular Finish,"4469x39
7ring(Indigo 21, white 5)badsha X 6OE(Badsha), 3/1RHT",Indigo#5,A&A-Zara Men,,,,,,20/05/2025,405,2505421,60Y,"C:66.5''
F:67.4''",39,17.5cm,13.5cm,47,8,14.0cm,"C:66.5''
F:67.2''",-1.42%,2.28%,-2.20%,-0.50%,65.0'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25104-2,PR137-01R5,Regular Finish,"4469x39
7ring(Indigo 21, white 5)badsha X 6ring(Nishat), 3/1RHT",Indigo#5,A&A-Zara Men,,,,,,20/05/2025,405,2505421,60Y,"C:65.5''
F:66.5''",39,17.5cm,13.5cm,46,7,17.0cm,"C:66''
F:66.7''",0.00%,4.60%,3.03%,-1.00%,64.0'',47,Singeing + Dryer(5box60°C)+Sanforized,
X25105,,Regular Finish(Mr.Lee),,,,,,,,,21/05/2025,208,2505434,70Y,"C:61.5''
F:62''",46,16.0cm,13.0cm,51,5,11.0cm,"C:60.6''
F:61.1''",-0.60%,0.00%,-12.50%,-2.70%,53.0'',52,Singeing + Dryer(5box60°C)+Sanforized,
X25106,,Regular Finish(Mr.Lee),,,,,,,,,22/05/2025,204,2505434,85Y,"C:63.5''
F:64.3''",42,16.5cm,14.0cm,48,6,14.0cm,"C:63.5''
F:64.3''",2.06%,0.89%,7.24%,-2.50%,58.9'',49,Singeing + Dryer(5box60°C)+Sanforized,
X25109,,Regular Finish,"3888x35
7ring(Nishat)X6oe(Badsha), 3/1RHT",Black #9S,Pull&Bear/Natural Indigo,,,,,,20/05/2025,208,2503203,73Y,"C:64.7''
F:65.6''",55,15.0cm,11.5cm,42,-13,13.5cm,"C:65''
F:65.8''",0.57%,1.43%,-1.50%,-1.00%,64.0'',43,Singeing + Dryer(5box60°C)+Sanforized,
X25110,,Regular Finish,"5184x60
12rsl(Nishat) X 20rsl(nishat), 3/1RHT",Indigo#5,Zara Kids/ Natural Denim,,,,,,19/05/2025,123,2505424,70Y,"C:62.2''
F:63''",60,14.0cm,13.0cm,69,9,14.5cm,"C:63''
F:63.7''",3.60%,0.00%,0.95%,1.00%,62.5'',68,Singeing + Dryer(5box60°C)+Sanforized,
X25111,,Regular Finish,"4752x43
10rls(Nishat)X10ring(Badsha), 3/1RHT",Dark Indigo#6,Zara Kids/ Natural Denim,,,,,,19/05/2025,208,24111079,70Y,"C:63.8''
F:64.7''",43,15.5cm,11.0cm,49,6,14.0cm,"C:64.5''
F:65.3''",2.70%,1.71%,-1.24%,-1.00%,63.7'',50,Singeing + Dryer(5box60°C)+Sanforized,
X25111-2,,Regular Finish,"4752x43
10rls(Nishat)X12ring(Badsha), 3/1RHT",Dark Indigo#6,Zara Kids/ Natural Denim,,,,,,20/05/2025,123,24111079,28Y,"C:62.5''
F:63.7''",43,16.5cm,14.0cm,50,7,14.5cm,"C:63.2''
F:64''",0.00%,-1.84%,-0.31%,0.00%,63.0'',63,Singeing + Dryer(5box60°C)+Sanforized,
X25111-2,,Regular Finish,"4752x43
10rls(Nishat)X12ring(Badsha), 3/1RHT",Dark Indigo#6,Zara Kids/ Natural Denim,,,,,,21/05/2025,123,24111079,70Y,"C:62.8''
F:63.8''",43,13.0cm,13.0cm,50,7,13.0cm,"C:63.5''
F:64.4''",-0.71%,-0.42%,0.15%,-1.00%,63.4'',51,Singeing + Dryer(5box60°C)+Sanforized,
X25112,,Regular Finish,"5184x60
12rsl(Nishat) X 20ring(nishat, compact)",Indigo#,Zara Kids/ Natural Denim,,,,,,20/05/2025,123,2505424,50Y,"C:62.5''
F:63.5''",60,14.5cm,11.0cm,69,9,12.5cm,"C:63''
F:63.8''",3.00%,-0.98%,-1.26%,1.00%,62.2'',68,Singeing + Dryer(5box60°C)+Sanforized,
X25113,,Regular Finish,"4468x40
8ring(Nishat)X12-40D(T/Black)(Zuzbou)+12-70D(T/Black), 4:1, 3/1RHT",Black#9S,C&A,,,,,,21/05/2025,117,2505413,120Y,"C:63.7''
F:64.6''",40,17.0cm,11.0cm,46,6,11.0cm,"C:60.8''
F:61.6''",-0.92%,2.70%,16.10%,-1.00%,51.0'',47,Singeing + Dryer(5box60°C)+Sanforized,
