Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
RNPS-080-13R9T,,Regular Finish,"5508X52
16ring(Nishat)x20-40D T/Black(Xuzhou), 3/1RHT",Black #9T,C&A,,,,,,23/01/2025,218,2501038,35Y,"C:58''
F:58.8''",52,14.5cm,9.0cm,60,8,9.0cm,"C:54.2''
F:55.2''",0.40%,2.50%,-18.90%,-1.30%,44.1'',61,Singeing + Dryer(5box 60°C) + Sanforized,
SR-095-01R6,,Regular Finish,"4488x42
10siro(Nishat)X10OE(Badsha), 3/1RHT",Dark Indigo*6,WestLand Apparel,,,,,,25/02/2025,218,2502093,288Y,"C:60.5''
F:61.5''",42,16.0cm,12.5cm,49,7,14.0cm,"C:60.8''
F:61.8''",0.00%,0.56%,-0.49%,-1.00%,60.5'',50,Singeing + Dryer(5box 60°C) + Sanforized,
X110204-1,ST065-01C5,"Regular Finish(Twill Up)
1/1 plain",,,,,,,,,15/12/2024,109,24121123,195Y,"C:61''
F:61.4''",42,4.0cm,4.0cm,48,6,1.0cm,"C:61.7''
F:62''",1.40%,2.10%,0.40%,-2.40%,62.0'',48,Singeing + Dryer(5box) + Sanforized,
X120227,PR130-02R5,Regular Finish,"4400X39
7oe(Badsha)X7oe(Badsha), 3/1RHT",Indigo#5,Warptex,,,,,,11/04/2025,612,2504289,310Y,"C:64.9''
F:65.6''",39,16.0cm,12.0cm,46,7,13.0cm,"C:61.8''
F:62.4''",-2.40%,0.00%,-2.40%,0.00%,60.3'',46,Singeing + Dryer(5box50°C)+Sanforized,
"X120795
PR137-02R5",PR137-02R5,Regular,"4176x43
7oex7oe(Badsha), 3/1RHT",Indigo #5,TM Group,,,,,,08/07/2025,309,2507566,106Y,"C:59''
F:60''",43,15.5cm,12.0cm,50,7,14.5cm,"C:59''
F:59.8''",0.28%,2.50%,-2.20%,0.00%,57.7'',50,singeing + Dryer(5Box 60°C) + Sanforized(old),
X150574,RNS100-09R11,RFD,,RFD#11,Bexhim Global,,,,,,21/03/2025,219,2503249,120Y,"C:53''
F:53.8''",50,9.0cm,9.0cm,58,8,9.0cm,"C:51.1''
F:52.2''",1.25%,-2.19%,-17.80%,-2.00%,42.0'',60,Singeing +Dryer + Sanforized(old),
X1511243,PR120-02R5,Regular,"4176x43
7oeX10oe(Badsha, BCI), 3/1RHT",Indigo#5,STW,61'',, # +\- (3--4)%,12.00 oz,,04/08/2025,402,2507649,106Y,"C:60.7''
F:61.5''",43,17.0cm,12.0cm,50,7,15.5cm,"C:61''
F:62''",1.40%,2.80%,-1.60%,2.00%,60.0'',49,Singeing?Dryer(5box 60°C)?Sanforized ,
X1610215-1,,Desized Finish,"4464x45
8.5rsl(YT-12)nishat X 10-70D(75D T400), 3/1RHT",Black Blue#9C,C&A,,,,,,25/01/2025,508,2501062,100Y,"C:58.4''
F:59.5''",45,13.0cm,11.5cm,52,7,11.0cm,"C:55.5''
F:56.2''",-1.09%,-0.30%,-15.60%,-3.00%,46.8'',53,Singeing + Desized + Dryer+ Sanforized(Old),
X1610220,,Desized Finish,"4752x45
10rsl(YT-199)Nishat X 10-70D(75D T400), 3/1RHT",Black Blue#9C,C&A,,,,,,25/01/2025,405,2501065,97Y,"C:56.6''
F:57.6''",45,12.0cm,9.5cm,51,6,8.5cm,"C:54.5''
F:56.2''",-3.07%,3.30%,-17.10%,-3.80%,45.2'',53,Singeing + Desized + Dryer+ Sanforized(Old),
X1611238,,RFD-Regular finish,"4386X43
7oe(Badsha)X7oe(Badsha), 3/1RHT",RFD#11,Natural Denim-Zara Man,,,,,,29/05/2020,109,2504330,120Y,"C:62.5''
F:63.5''",43,12.0cm,13.0cm,49,6,13.0cm,"C:62.8''
F:63.8''",0.72%,-0.28%,-2.07%,-1.80%,61.5'',49,Singeing + Dryer+Sanforized,
